Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F116;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F116;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F116;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F117;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AMARELO AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F117;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AMARELO AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F117;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AMARELO AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F118;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AZUL AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F118;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AZUL AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F118;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM AZUL AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F119;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F119;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F119;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F120B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;3.126;1.709;0.0;0.0133;4.8483
F120B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;1.76;1.9;0.0;0.018;3.678
F120B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;1.98;1.8;0.0;0.018;3.798
F141;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F141;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F141;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
F141B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;3.126;1.709;0.0;0.0133;4.8483
F141B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;1.76;1.9;0.0;0.018;3.678
F141B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;1.98;1.8;0.0;0.018;3.798
F119B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;3.126;1.709;0.0;0.0133;4.8483
F119B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;1.76;1.9;0.0;0.018;3.678
F119B;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;1.98;1.8;0.0;0.018;3.798
F122;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;4.8;2.236;0.0;0.0133;7.0493
F122;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;2.97;2.35;0.0;0.019;5.339
F122;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;3.08;2.3;0.0;0.019;5.399
F121;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM PRETO AUTOFLEX* 100M;RL;0.0;4.8;2.236;0.0;0.0133;7.0493
F121;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM PRETO AUTOFLEX* 100M;RL;0.0;2.97;2.35;0.0;0.019;5.339
F121;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM PRETO AUTOFLEX* 100M;RL;0.0;3.08;2.3;0.0;0.019;5.399
F122B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;4.8;2.236;0.0;0.0133;7.0493
F122B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;2.97;2.35;0.0;0.019;5.339
F122B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;3.08;2.3;0.0;0.019;5.399
F123B;CEA-FLEX 6,0MM;CABO ELETRICO FLEXIVEL 6,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;4.8;2.236;0.0;0.0133;7.0493
